customer_id,assigned_price,purchased,baseline_orders
C0001,24.0,1,2
C0002,39.0,0,3
C0003,24.0,1,1
C0004,34.0,0,0
C0005,29.0,0,2
C0006,24.0,1,3
C0007,29.0,1,1
C0008,24.0,1,2
C0009,29.0,0,4
C0010,24.0,1,2
C0011,24.0,0,0
C0012,29.0,0,4
C0013,24.0,1,3
C0014,24.0,0,1
C0015,24.0,0,1
C0016,29.0,1,0
C0017,39.0,1,4
C0018,39.0,0,1
C0019,29.0,1,2
C0020,39.0,0,1
C0021,39.0,1,1
C0022,24.0,1,2
C0023,29.0,1,1
C0024,34.0,1,3
C0025,39.0,1,1
C0026,39.0,0,2
C0027,39.0,0,4
C0028,34.0,1,2
C0029,29.0,1,5
C0030,24.0,1,0
C0031,34.0,1,3
C0032,34.0,1,1
C0033,29.0,0,3
C0034,29.0,1,3
C0035,39.0,0,1
C0036,24.0,0,1
C0037,34.0,0,2
C0038,39.0,1,3
C0039,34.0,0,2
C0040,34.0,0,5
C0041,39.0,1,1
C0042,34.0,0,2
C0043,34.0,0,1
C0044,34.0,1,4
C0045,34.0,1,2
C0046,39.0,1,3
C0047,29.0,0,5
C0048,39.0,0,1
C0049,24.0,0,1
C0050,34.0,0,5
C0051,29.0,0,4
C0052,34.0,0,4
C0053,39.0,0,1
C0054,39.0,1,4
C0055,29.0,1,1
C0056,39.0,0,1
C0057,39.0,0,1
C0058,39.0,0,3
C0059,24.0,1,0
C0060,29.0,1,1
C0061,34.0,1,1
C0062,39.0,0,1
C0063,34.0,0,3
C0064,39.0,0,3
C0065,39.0,0,1
C0066,29.0,0,3
C0067,34.0,0,2
C0068,29.0,0,3
C0069,24.0,1,2
C0070,34.0,1,3
C0071,24.0,1,2
C0072,34.0,1,2
C0073,34.0,1,2
C0074,24.0,1,3
C0075,34.0,0,3
C0076,24.0,1,2
C0077,39.0,0,2
C0078,39.0,0,1
C0079,39.0,0,4
C0080,34.0,1,4
C0081,39.0,0,5
C0082,29.0,1,4
C0083,39.0,1,1
C0084,29.0,0,4
C0085,29.0,0,3
C0086,34.0,0,3
C0087,39.0,0,1
C0088,34.0,0,3
C0089,29.0,1,3
C0090,29.0,1,6
C0091,29.0,0,4
C0092,39.0,0,3
C0093,29.0,0,4
C0094,39.0,0,1
C0095,34.0,0,2
C0096,34.0,0,1
C0097,29.0,0,1
C0098,29.0,0,1
C0099,24.0,0,0
C0100,29.0,0,0
C0101,39.0,0,1
C0102,39.0,1,0
C0103,34.0,1,3
C0104,39.0,0,2
C0105,29.0,1,5
C0106,24.0,1,8
C0107,24.0,1,2
C0108,39.0,0,3
C0109,39.0,0,1
C0110,34.0,0,1
C0111,34.0,1,2
C0112,24.0,0,3
C0113,39.0,1,1
C0114,24.0,1,2
C0115,29.0,1,2
C0116,29.0,0,2
C0117,29.0,0,1
C0118,29.0,1,1
C0119,29.0,1,2
C0120,39.0,0,2
C0121,39.0,0,1
C0122,39.0,0,2
C0123,34.0,0,2
C0124,39.0,0,2
C0125,39.0,0,0
C0126,34.0,1,1
C0127,29.0,1,2
C0128,34.0,0,2
C0129,24.0,0,1
C0130,39.0,1,2
C0131,29.0,0,1
C0132,29.0,1,4
C0133,34.0,0,2
C0134,29.0,1,3
C0135,39.0,0,1
C0136,39.0,0,3
C0137,29.0,1,2
C0138,29.0,0,1
C0139,24.0,1,0
C0140,24.0,0,3
C0141,24.0,0,3
C0142,24.0,0,3
C0143,39.0,0,1
C0144,34.0,0,1
C0145,39.0,0,1
C0146,34.0,0,1
C0147,24.0,1,5
C0148,29.0,0,2
C0149,29.0,1,2
C0150,34.0,0,2
