period,price,quantity,promotion,distribution
2025-W01,32.73,356,0,0.709
2025-W02,33.64,320,0,0.771
2025-W03,34.26,305,0,0.737
2025-W04,29.66,446,1,0.708
2025-W05,33.52,321,0,0.716
2025-W06,34.95,269,0,0.739
2025-W07,33.03,246,0,0.701
2025-W08,34.81,243,0,0.775
2025-W09,34.59,241,0,0.71
2025-W10,35.11,261,0,0.736
2025-W11,33.19,244,0,0.706
2025-W12,33.76,254,0,0.747
2025-W13,30.75,409,1,0.777
2025-W14,33.22,298,0,0.769
2025-W15,28.83,525,1,0.787
2025-W16,31.47,441,1,0.764
2025-W17,35.86,296,0,0.78
2025-W18,33.91,299,0,0.804
2025-W19,35.59,330,0,0.786
2025-W20,34.11,281,0,0.739
2025-W21,33.58,349,0,0.791
2025-W22,30.18,426,1,0.783
2025-W23,36.17,229,0,0.768
2025-W24,34.32,274,0,0.755
2025-W25,33.29,345,1,0.72
2025-W26,36.67,281,0,0.785
2025-W27,35.48,291,0,0.819
2025-W28,36.77,312,0,0.763
2025-W29,35.5,295,0,0.783
2025-W30,34.72,334,0,0.85
2025-W31,34.25,315,0,0.799
2025-W32,31.1,405,1,0.8
2025-W33,35.88,288,0,0.764
2025-W34,35.65,314,0,0.84
2025-W35,34.84,274,0,0.826
2025-W36,34.49,287,0,0.765
2025-W37,36.3,231,0,0.802
2025-W38,35.8,292,0,0.796
2025-W39,35.21,275,0,0.754
2025-W40,36.11,303,0,0.825
2025-W41,35.43,377,0,0.836
2025-W42,36.55,297,0,0.831
2025-W43,34.74,302,0,0.822
2025-W44,36.88,324,0,0.832
2025-W45,34.06,300,0,0.844
2025-W46,34.72,298,0,0.821
2025-W47,37.49,216,0,0.832
2025-W48,29.46,425,1,0.803
2025-W49,36.97,272,0,0.845
2025-W50,35.18,248,0,0.794
2025-W51,36.13,246,0,0.767
2025-W52,36.03,301,0,0.814
2025-W53,32.66,456,1,0.796
2025-W54,37.02,292,0,0.856
2025-W55,35.81,302,0,0.874
2025-W56,33.6,434,1,0.782
2025-W57,37.52,278,0,0.832
2025-W58,35.51,319,0,0.856
2025-W59,35.71,291,0,0.822
2025-W60,37.34,263,0,0.826
2025-W61,37.72,209,0,0.864
2025-W62,31.97,462,1,0.899
2025-W63,29.79,478,1,0.876
2025-W64,36.1,244,0,0.871
2025-W65,36.61,239,0,0.847
2025-W66,36.57,354,0,0.886
2025-W67,36.65,338,0,0.914
2025-W68,36.72,307,0,0.874
2025-W69,35.88,341,0,0.851
2025-W70,35.67,346,0,0.865
2025-W71,30.15,516,1,0.831
2025-W72,37.33,312,0,0.904
2025-W73,36.2,314,0,0.911
2025-W74,30.88,460,1,0.882
2025-W75,35.74,265,0,0.878
2025-W76,32.69,486,1,0.857
2025-W77,36.03,274,0,0.885
2025-W78,37.58,304,0,0.879
2025-W79,37.04,235,0,0.869
2025-W80,37.32,300,0,0.893
2025-W81,37.41,279,0,0.864
2025-W82,37.66,336,0,0.896
2025-W83,36.51,278,0,0.883
2025-W84,36.42,354,0,0.94
