respondent_id,wtp,segment
R0001,46.08,Practical
R0002,24.75,Practical
R0003,31.0,Enthusiast
R0004,39.17,Practical
R0005,28.43,Practical
R0006,36.16,Practical
R0007,35.17,Practical
R0008,33.54,Practical
R0009,46.96,Practical
R0010,19.94,Occasional
R0011,40.04,Occasional
R0012,37.42,Enthusiast
R0013,38.93,Enthusiast
R0014,68.02,Enthusiast
R0015,56.08,Practical
R0016,32.12,Enthusiast
R0017,28.04,Occasional
R0018,27.07,Practical
R0019,58.56,Enthusiast
R0020,19.3,Practical
R0021,36.86,Enthusiast
R0022,28.71,Occasional
R0023,37.57,Practical
R0024,17.11,Practical
R0025,33.38,Practical
R0026,44.9,Practical
R0027,26.04,Practical
R0028,45.81,Enthusiast
R0029,25.15,Practical
R0030,43.28,Occasional
R0031,33.36,Practical
R0032,35.61,Practical
R0033,21.46,Occasional
R0034,27.73,Practical
R0035,41.52,Enthusiast
R0036,15.05,Occasional
R0037,57.34,Enthusiast
R0038,54.16,Enthusiast
R0039,21.75,Practical
R0040,53.48,Practical
R0041,30.07,Occasional
R0042,23.37,Practical
R0043,50.47,Enthusiast
R0044,23.96,Occasional
R0045,85.0,Enthusiast
R0046,27.63,Practical
R0047,44.29,Enthusiast
R0048,30.39,Occasional
R0049,41.26,Occasional
R0050,27.86,Practical
R0051,20.01,Practical
R0052,26.81,Occasional
R0053,28.12,Occasional
R0054,46.94,Practical
R0055,24.75,Occasional
R0056,27.81,Enthusiast
R0057,23.83,Practical
R0058,27.72,Practical
R0059,30.48,Practical
R0060,22.02,Practical
R0061,31.73,Practical
R0062,29.9,Practical
R0063,57.45,Enthusiast
R0064,27.56,Practical
R0065,24.93,Practical
R0066,28.51,Practical
R0067,15.76,Occasional
R0068,22.7,Occasional
R0069,20.83,Practical
R0070,34.01,Practical
R0071,32.89,Practical
R0072,21.13,Occasional
R0073,23.46,Occasional
R0074,33.1,Enthusiast
R0075,22.16,Occasional
R0076,32.15,Practical
R0077,46.84,Enthusiast
R0078,18.5,Practical
R0079,62.07,Practical
R0080,39.01,Enthusiast
R0081,21.56,Practical
R0082,24.79,Practical
R0083,27.49,Occasional
R0084,56.99,Enthusiast
R0085,31.12,Enthusiast
R0086,34.95,Enthusiast
R0087,32.28,Occasional
R0088,33.18,Practical
R0089,63.82,Enthusiast
R0090,24.76,Occasional
R0091,29.94,Practical
R0092,39.07,Practical
R0093,35.48,Occasional
R0094,26.96,Occasional
R0095,37.89,Practical
R0096,36.24,Occasional
R0097,24.86,Practical
R0098,38.01,Practical
R0099,24.38,Practical
R0100,24.23,Occasional
R0101,36.2,Practical
R0102,28.3,Occasional
R0103,21.84,Enthusiast
R0104,20.49,Occasional
R0105,28.59,Practical
R0106,32.88,Practical
R0107,34.46,Practical
R0108,26.96,Practical
R0109,35.38,Enthusiast
R0110,48.85,Enthusiast
R0111,17.99,Occasional
R0112,41.56,Enthusiast
R0113,35.75,Enthusiast
R0114,20.16,Practical
R0115,26.04,Practical
R0116,47.06,Enthusiast
R0117,34.15,Occasional
R0118,23.12,Occasional
R0119,35.66,Practical
R0120,44.44,Enthusiast
R0121,26.62,Practical
R0122,44.62,Enthusiast
R0123,32.8,Practical
R0124,38.4,Practical
R0125,20.75,Occasional
R0126,45.17,Practical
R0127,47.97,Enthusiast
R0128,35.2,Enthusiast
R0129,22.92,Occasional
R0130,37.82,Practical
R0131,53.58,Enthusiast
R0132,17.16,Occasional
R0133,24.29,Occasional
R0134,26.43,Practical
